Measurand,Direction,Nominal value,Tolerance 1 -d,Tolerance 1 +d,Tolerance 2 -d,Tolerance 2 +d,Tolerance 3 -d,Tolerance 3 +d
MRRWH0033_OFBA,Y,520.5,,,,,,
MRRWH0033_OFBA,Z,797.08,-1.1,1.1,-2.2,2.2,-3.29,3.29
MRRWH0032_HEBA,X,3163.41,-1.14,1.14,-2.28,2.28,-3.41,3.41
MRRWH0032_HEBA,Y,522.28,-0.36,0.36,-0.72,0.72,-1.09,1.09
MRRWH0032_HEBA,Z,786.49,,,,,,
MRESB1201_HDLE,X,462,-1.2,1.2,-2.4,2.4,-3.6,3.6
MRESB1201_HDLE,Y,664,-1.2,1.2,-2.4,2.4,-3.6,3.6
MRESB1201_HDLE,Z,568.75,-1.2,1.2,-2.4,2.4,-3.6,3.6
NLDAH0007_U_AA,X,2464.17,-0.36,0.36,-0.72,0.72,-1.07,1.07
NLDAH0007_U_AA,Y,-471.51,,,,,,
NLDAH0007_U_AA,Z,1054.26,-1.14,1.14,-2.28,2.28,-3.41,3.41
NLHOT0002_O_DG,X,3065,-1.2,1.2,-2.4,2.4,-3.6,3.6
NLHOT0002_O_DG,Y,-295,-1.2,1.2,-2.4,2.4,-3.6,3.6
NLHOT0002_O_DG,Z,763.55,-1.2,1.2,-2.4,2.4,-3.6,3.6
NLRWH0006_V_BA,X,3213.59,-1.18,1.18,-2.36,2.36,-3.53,3.53
NLRWH0006_V_BA,Y,-427.34,,,,,,
NLRWH0006_V_BA,Z,766.17,,,,,,
NLSAV0006_L_AA,X,501.7,,,,,,
NLSAV0006_L_AA,Y,-714.58,-1.2,1.2,-2.4,2.4,-3.59,3.59
NLSAV0006_L_AA,Z,513.09,,,,,,
NLSBW0006_L_AA,X,1634.26,,,,,,
NLSBW0006_L_AA,Y,-599.72,-1.08,1.08,-2.16,2.16,-3.25,3.25
NLSBW0006_L_AA,Z,965,-0.52,0.52,-1.04,1.04,-1.55,1.55
NLSBW0007_L_AA,X,1526.71,,,,,,
NLSBW0007_L_AA,Y,-603.4,-1.08,1.08,-2.16,2.16,-3.24,3.24
NLSBW0007_L_AA,Z,965,-0.52,0.52,-1.04,1.04,-1.58,1.58
NLSBW0012_L_AA,X,1552.27,,,,,,
NLSBW0012_L_AA,Y,-733.61,-1.2,1.2,-2.4,2.4,-3.6,3.6
NLSBW0012_L_AA,Z,206.05,,,,,,
NLSBW0013_L_AA,X,1324.92,,,,,,
NLSBW0013_L_AA,Y,-734.17,-1.2,1.2,-2.4,2.4,-3.6,3.6
NLSBW0013_L_AA,Z,206.05,,,,,,
NRDAH0007_U_AA,X,2464.17,-0.36,0.36,-0.72,0.72,-1.07,1.07
NRDAH0007_U_AA,Y,471.51,,,,,,
NRDAH0007_U_AA,Z,1054.26,-1.14,1.14,-2.28,2.28,-3.41,3.41
NRHOT0001_O_CA,X,3065,-1.2,1.2,-2.4,2.4,-3.6,3.6
NRHOT0001_O_CA,Y,295,-1.2,1.2,-2.4,2.4,-3.6,3.6
NRHOT0001_O_CA,Z,763.55,-1.2,1.2,-2.4,2.4,-3.6,3.6
NRRWH0006_V_BA,X,3213.59,-1.18,1.18,-2.36,2.36,-3.53,3.53
NRRWH0006_V_BA,Y,427.34,,,,,,
NRRWH0006_V_BA,Z,766.17,,,,,,
NRSVO0001_L_CA,X,595.2,-1.2,1.2,-2.4,2.4,-3.6,3.6
NRSVO0001_L_CA,Y,671.2,-1.2,1.2,-2.4,2.4,-3.6,3.6
NRSVO0001_L_CA,Z,809.35,-1.2,1.2,-2.4,2.4,-3.6,3.6
NRSVO0003_L_EG,X,855.41,-1.2,1.2,-2.4,2.4,-3.6,3.6
NRSVO0003_L_EG,Y,611.83,-1.2,1.2,-2.4,2.4,-3.6,3.6
NRSVO0003_L_EG,Z,949.04,-1.2,1.2,-2.4,2.4,-3.6,3.6
NRSAV0006_R_AA,X,501.7,,,,,,
NRSAV0006_R_AA,Y,714.58,-1.2,1.2,-2.4,2.4,-3.59,3.59
NRSAV0006_R_AA,Z,513.09,,,,,,
NRSBW0006_R_AA,X,1634.26,,,,,,
NRSBW0006_R_AA,Y,599.72,-1.08,1.08,-2.16,2.16,-3.25,3.25
NRSBW0006_R_AA,Z,965,-0.52,0.52,-1.04,1.04,-1.55,1.55
NRSBW0007_R_AA,X,1526.71,,,,,,
NRSBW0007_R_AA,Y,603.4,-1.08,1.08,-2.16,2.16,-3.24,3.24
NRSBW0007_R_AA,Z,965,-0.52,0.52,-1.04,1.04,-1.58,1.58
NRSBW0012_R_AA,X,1552.27,,,,,,
NRSBW0012_R_AA,Y,733.61,-1.2,1.2,-2.4,2.4,-3.6,3.6
NRSBW0012_R_AA,Z,206.05,,,,,,
NRSBW0013_R_AA,X,1324.92,,,,,,
NRSBW0013_R_AA,Y,734.17,-1.2,1.2,-2.4,2.4,-3.6,3.6
NRSBW0013_R_AA,Z,206.05,,,,,,
MLESB1201_HDLE,X,462,-1.2,1.2,-2.4,2.4,-3.6,3.6
MLESB1201_HDLE,Y,-664,-1.2,1.2,-2.4,2.4,-3.6,3.6
MLESB1201_HDLE,Z,568.75,-1.2,1.2,-2.4,2.4,-3.6,3.6
NLSVO0001_R_CA,X,595.2,-1.2,1.2,-2.4,2.4,-3.6,3.6
