Measurand,Nominal value,Tolerance 1 -d,Tolerance 1 +d,Tolerance 2 -d,Tolerance 2 +d,Tolerance 3 -d,Tolerance 3 +d
NLSTS0230_V_BA,2501.42,-1.02,1.02,-2.04,2.04,-3.06,3.06
NLSTS0230_V_BA,-833.18,,,,,,
NLSTS0230_V_BA,642.69,-0.62,0.62,-1.24,1.24,-1.86,1.86
NLSTS0228_V_BA,2513.84,-1.02,1.02,-2.04,2.04,-3.07,3.07
NLSTS0228_V_BA,-824.75,,,,,,
NLSTS0228_V_BA,661.67,-0.61,0.61,-1.22,1.22,-1.84,1.84
NLSTS0213_U_BA,2543.56,-0.5,0.5,-1,1,-1.51,1.51
NLSTS0213_U_BA,-650.56,-0.57,0.57,-1.14,1.14,-1.72,1.72
NLSTS0213_U_BA,929.9,-0.92,0.92,-1.84,1.84,-2.78,2.78
NLSTS0239_L_BA,2136.53,,,,,,
NLSTS0239_L_BA,-857.51,-1.19,1.19,-2.38,2.38,-3.57,3.57
NLSTS0239_L_BA,82.47,,,,,,
NLSTS0231_L_BA,2476.47,,,,,,
NLSTS0231_L_BA,-840.44,-1.15,1.15,-2.3,2.3,-3.45,3.45
NLSTS0231_L_BA,599.69,-0.34,0.34,-0.68,0.68,-1.02,1.02
NLSTS0229_L_BA,2504.27,,,,,,
NLSTS0229_L_BA,-836.46,-1.12,1.12,-2.24,2.24,-3.37,3.37
NLSTS0229_L_BA,642.19,-0.42,0.42,-0.84,0.84,-1.25,1.25
NLSTS0227_L_BA,2516.79,,,,,,
NLSTS0227_L_BA,-828.1,-1.09,1.09,-2.18,2.18,-3.28,3.28
NLSTS0227_L_BA,661.34,-0.49,0.49,-0.98,0.98,-1.47,1.47
NLSTS0212_L_BA,2547.21,,,,,,
NLSTS0212_L_BA,-653.46,-1.03,1.03,-2.06,2.06,-3.1,3.1
NLSTS0212_L_BA,938.76,-0.6,0.6,-1.2,1.2,-1.8,1.8
NLSTS0214_L_BA,2611.46,,,,,,
NLSTS0214_L_BA,-712.11,-1.1,1.1,-2.2,2.2,-3.3,3.3
