Measurand,Direction,Nominal value,Tolerance 1 -d,Tolerance 1 +d,Tolerance 2 -d,Tolerance 2 +d,Tolerance 3 -d,Tolerance 3 +d
RPS1Hxy_CONSOLE1,X,0,-0.1,0.1,-0.2,0.2,-0.3,0.3
RPS1Hxy_CONSOLE1,Y,0,-0.1,0.1,-0.2,0.2,-0.3,0.3
RPS1Hxy_CONSOLE1,Z,0,-0.1,0.1,-0.2,0.2,-0.3,0.3
NRSTS0205_R_BA,X,2053.49,,,,,,
NRSTS0205_R_BA,Y,598.77,-1.01,1.01,-2.02,2.02,-3.02,3.02
NRSTS0205_R_BA,Z,1084.64,,,,,,
118L-118R-DY,Y,1223.52,,,2,4,-1.8,4.2
MLLHU1002_ODHA,X,3010.12,-0.15,0.15,-0.2,0.2,-0.6,0.6
MLLHU1002_ODHA,Y,-518.5,-0.15,0.15,-0.2,0.2,-0.6,0.6
MLLHU1002_ODHA,Z,100.8,-0.15,0.15,-0.2,0.2,-0.6,0.6
NRSTS0124_L_BA,X,3506.2,,,,,,
NRSTS0124_L_BA,Y,608.08,-1.12,1.12,-1.18,1.18,-2.95,4.15
NRSTS0124_L_BA,Z,667.2,,,,,,
143R-304R-DX/DY,X,100.59,-1,0,-2,0,-3,0
143R-304R-DX/DY,Y,68.93,0,1,0,2,,
143R-304R-DX/DY,XRV,0,,,,,,
143R-304R-DX/DY,YRV,0,,,,,,
143R-304R-DX/DY,ZRV,0,,,,,,
143R-304R-DX/DY,XLV,0,,,,,,
143R-304R-DX/DY,YLV,0,,,,,,
143R-304R-DX/DY,ZLV,0,,,,,,
NLSTS0147_L_BA,X,3207.44,,,,,,
NLSTS0147_L_BA,Y,-804.11,-1.18,1.18,-2.36,2.36,-3.53,3.53
NLSTS0147_L_BA,Z,511.18,,,,,,
NRSTS0229_R_BA,X,2504.27,,,,,,
NRSTS0229_R_BA,Y,836.46,-1.12,1.12,-2.24,2.24,-3.37,3.37
NRSTS0229_R_BA,Z,642.19,,,,,,
NRDAS0009KO_BA,X,1275.7,,,,,,
NRDAS0009KO_BA,Y,416.93,,,,,,
NRDAS0009KO_BA,Z,1135.08,-0.99,0.99,-1.98,1.98,-2.97,2.97
NRSTS0202_U_BA,X,1624.32,,,,,,
NRSTS0202_U_BA,Y,592.84,-0.64,0.64,-1.28,1.28,-1.91,1.91
NRSTS0202_U_BA,Z,1096.22,-1.02,1.02,-2.04,2.04,-3.05,3.05
NRSTS0086_O_BA,X,2421.11,,,,,,
NRSTS0086_O_BA,Y,565,,,,,,
NRSTS0086_O_BA,Z,1068.24,-1.11,1.11,-2.22,2.22,-3.33,3.33
102L-102R-neutral,Y,0,0,0,,,-2,2
130-304-DZ,Y,38.34,,,,,,
130-304-DZ,Z,58.32,,,,,,
130-304-DZ,XRV,0,,,,,,
130-304-DZ,YRV,0,,,,,,
130-304-DZ,ZRV,0,,,,,,
130-304-DZ,XLV,0,,,,,,
130-304-DZ,YLV,0,,,,,,
130-304-DZ,ZLV,0,,,,,,
NLSTD0018_O_BA,X,3322.63,,,,,,
NLSTD0018_O_BA,Y,-589.96,,,,,,
NLSTD0018_O_BA,Z,725.97,-1.19,1.19,-2.38,2.38,-3.56,3.56
NLSTS0279_L_BA,X,2864.33,,,,,,
NLSTS0279_L_BA,Y,-866.41,-1.2,1.2,-2.4,2.4,-3.6,3.6
NLSTS0279_L_BA,Z,339.09,,,,,,
NRDAA0024_O_BA,X,977.85,,,,,,
NRDAA0024_O_BA,Y,565.74,,,,,,
NRDAA0024_O_BA,Z,1056.29,-1.06,1.06,-1.12,1.12,-3.37,3.37
