Measurand,Direction,Nominal value,Tolerance 1 -d,Tolerance 1 +d,Tolerance 2 -d,Tolerance 2 +d,Tolerance 3 -d,Tolerance 3 +d
MRWLQ0028OFAA,Y,635.72,,,,,,
MRWLQ0028OFAA,Z,651.65,-0.82,0.82,-1.64,1.64,-2.46,2.46
MLBVT1202_UDLE,X,1329.69,-1,1,-2,2,-3,3
MLBVT1202_UDLE,Y,-143,-1,1,-2,2,-3,3
MLBVT1202_UDLE,Z,13.9,-1,1,-2,2,-3,3
MLBVT1201_UDLE,X,966.08,-1,1,-2,2,-3,3
MLBVT1201_UDLE,Y,-143,-1,1,-2,2,-3,3
MLBVT1201_UDLE,Z,45.71,-1,1,-2,2,-3,3
MLBVS1201_UDEG,X,966.03,-1,1,-2,2,-3,3
MLBVS1201_UDEG,Y,-620,-1,1,-2,2,-3,3
MLBVS1201_UDEG,Z,45.72,-1,1,-2,2,-3,3
MLBVS1202_UDEG,X,1329.64,-1,1,-2,2,-3,3
MLBVS1202_UDEG,Y,-620,-1,1,-2,2,-3,3
MLBVS1202_UDEG,Z,13.91,-1,1,-2,2,-3,3
MLBSI1205_RVBA,X,1390,,,,,,
MLBSI1205_RVBA,Y,-742.15,-0.5,1,-1,2,-1.5,3
MLBSI1205_RVBA,Z,-60.82,,,,,,
MLBSI1211_RVBA,X,1390,,,,,,
MLBSI1211_RVBA,Y,-732,-0.5,1,-1,2,-1.5,3
MLBSI1211_RVBA,Z,87.08,,,,,,
MLRIT1202_RVAA,X,2160,,,,,,
MLRIT1202_RVAA,Y,-740.25,-0.5,1,-1,2,-1.5,3
MLRIT1202_RVAA,Z,-14.73,,,,,,
MLRIT1201_RVAA,X,2144,,,,,,
MLRIT1201_RVAA,Y,-732.1,-0.5,1,-1,2,-1.5,3
MLRIT1201_RVAA,Z,147.84,,,,,,
MLBLE0007_RDLE,X,2900.19,-1,1,-2,2,-3,3
MLBLE0007_RDLE,Y,-590,-1,1,-2,2,-3,3
MLBLE0007_RDLE,Z,782.74,-1,1,-2,2,-3.5,3
MLBLE0008_RDLE,X,2850,-1,1,-2,2,-3,3
MLBLE0008_RDLE,Y,-590,-1,1,-2,2,-3,3
MLBLE0008_RDLE,Z,743,-1,1,-2,2,-3,3
MLRWH0006_VEBA,X,3213.48,-0.78,0.78,-1.56,1.56,-2.35,2.35
MLRWH0006_VEBA,Y,-556.62,-0.61,0.61,-1.22,1.22,-1.82,1.82
MLRWH0006_VEBA,Z,752.2,,,,,,
MLLHB1205_RVBA,X,3430,,,,,,
MLLHB1205_RVBA,Y,-645.5,-0.5,1,-1,2,-1.5,3
MLLHB1205_RVBA,Z,203.3,,,,,,
MLRWH0007_OWBA,X,3203.13,,,,,,
MLRWH0007_OWBA,Y,-561.86,,,,,,
MLRWH0007_OWBA,Z,742.91,-0.98,0.98,-1.96,1.96,-7,6
MLLHB1206_OWBA,X,3430,,,,,,
MLLHB1206_OWBA,Y,-636.5,,,,,,
MLLHB1206_OWBA,Z,194.3,,,,,1,4
MLVTC0016_LVAA,X,3133.28,,,,,,
MLVTC0016_LVAA,Y,-621.03,-0.5,0.97,-1,1.94,-1,2.9
MLVTC0016_LVAA,Z,738.22,,,,,,
MLVTC0010_RVAA,X,2628.3,,,,,,
MLVTC0010_RVAA,Y,-672.55,-0.75,0.38,-1,0.5,-3,1.5
MLVTC0010_RVAA,Z,708,,,,,,
MLRHI1212_LVAA,X,2605,,,,,,
MLRHI1212_LVAA,Y,-676.28,-0.5,1,-1,2,-1.5,3
MLRHI1212_LVAA,Z,622.28,,,,,,
MLRHD1201_ODLE,X,2613.17,-2,2,-4,4,-6,6
MLRHD1201_ODLE,Y,-560.85,-2,2,-4,4,-6,6
MLRHD1201_ODLE,Z,475.5,-2,2,-4,4,-6,6
MLRHD1202_ODLE,X,2726.44,-2,2,-4,4,-6,6
MLRHD1202_ODLE,Y,-541.04,-2,2,-4,4,-6,6
MLRHD1202_ODLE,Z,476.6,-2,2,-4,4,-6,6
MRBVT1202_UDLE,X,1329.69,-1,1,-2,2,-3,3
MRBVT1202_UDLE,Y,143,-1,1,-2,2,-3,3
MRBVT1202_UDLE,Z,13.9,-1,1,-2,2,-3,3
MRBVT1201_UDLE,X,966.08,-1,1,-2,2,-3,3
MRBVT1201_UDLE,Y,143,-1,1,-2,2,-3,3
MRBVT1201_UDLE,Z,45.71,-1,1,-2,2,-3,3
MRBVS1201_UDEG,X,966.03,-1,1,-2,2,-3,3
MRBVS1201_UDEG,Y,620,-1,1,-2,2,-3,3
MRBVS1201_UDEG,Z,45.72,-1,1,-2,2,-3,3
MRBVS1202_UDEG,X,1329.64,-1,1,-2,2,-3,3
MRBVS1202_UDEG,Y,620,-1,1,-2,2,-3,3
MRBVS1202_UDEG,Z,13.91,-1,1,-2,2,-3,3
MRBSI1205_LVBA,X,1390,,,,,,
MRBSI1205_LVBA,Y,742.15,-1,0.5,-2,1,-3,1.5
MRBSI1205_LVBA,Z,-60.82,,,,,,
MRBSI1211_LVBA,X,1390,,,,,,
MRBSI1211_LVBA,Y,732,-1,0.5,-2,1,-3,1.5
MRBSI1211_LVBA,Z,87.08,,,,,,
MRRIT1202_LVAA,X,2160,,,,,,
MRRIT1202_LVAA,Y,740.25,-1,0.5,-2,1,-3,1.5
MRRIT1202_LVAA,Z,-14.73,,,,,,
MRRIT1201_LVAA,X,2144,,,,,,
MRRIT1201_LVAA,Y,732.1,-1,0.5,-2,1,-3,1.5
MRRIT1201_LVAA,Z,147.84,,,,,,
MRACG1001_UDLE,X,2412.5,-1.8,1.8,-3.6,3.6,-5.4,5.4
MRACG1001_UDLE,Y,335,-1.5,1.5,-3,3,-4.5,4.5
MRACG1001_UDLE,Z,134.2,-1.8,1.8,-3.6,3.6,-5.4,5.4
MRBLE0007_LDLE,X,2900.19,-1,1,-2,2,-3,3
MRBLE0007_LDLE,Y,590,-1,1,-2,2,-3,3
